DATE,CLVMNACSCAB1GQUK
1975-01-01,180405.0
1975-04-01,177442.3
1975-07-01,176835.5
1975-10-01,178863.1
1976-01-01,181693.7
1976-04-01,181393.5
1976-07-01,183664.4
1976-10-01,187560.4
1977-01-01,187613.7
1977-04-01,186310.5
1977-07-01,187608.3
1977-10-01,190827.0
1978-01-01,192529.0
1978-04-01,194771.8
1978-07-01,197449.6
1978-10-01,199240.3
1979-01-01,198533.1
1979-04-01,207302.7
1979-07-01,202701.3
1979-10-01,204845.6
1980-01-01,202901.2
1980-04-01,198842.4
1980-07-01,198646.1
1980-10-01,196470.2
1981-01-01,196223.3
1981-04-01,196624.9
1981-07-01,198742.9
1981-10-01,198991.6
1982-01-01,199378.6
1982-04-01,201503.9
1982-07-01,202025.7
1982-10-01,203445.6
1983-01-01,207170.7
1983-04-01,208942.3
1983-07-01,211229.5
1983-10-01,213054.5
1984-01-01,214529.5
1984-04-01,212651.1
1984-07-01,214026.7
1984-10-01,218259.1
1985-01-01,220048.9
1985-04-01,224709.1
1985-07-01,224905.3
1985-10-01,225448.8
1986-01-01,228005.5
1986-04-01,229697.6
1986-07-01,230743.0
1986-10-01,234865.1
1987-01-01,237048.3
1987-04-01,240525.6
1987-07-01,246369.6
1987-10-01,249159.6
1988-01-01,253600.0
1988-04-01,255094.9
1988-07-01,258980.1
1988-10-01,261210.3
1989-01-01,262361.5
1989-04-01,264088.9
1989-07-01,264352.0
1989-10-01,264603.4
1990-01-01,266386.8
1990-04-01,267755.2
1990-07-01,264959.8
1990-10-01,264048.2
1991-01-01,263277.6
1991-04-01,262945.7
1991-07-01,262371.5
1991-10-01,262827.3
1992-01-01,262846.3
1992-04-01,262536.1
1992-07-01,264208.2
1992-10-01,266048.6
1993-01-01,267973.1
1993-04-01,269301.6
1993-07-01,271423.3
1993-10-01,273224.8
1994-01-01,276437.1
1994-04-01,279663.0
1994-07-01,282859.0
1994-10-01,284574.6
1995-01-01,284908.8
1995-04-01,285982.3
1995-07-01,288712.8
1995-10-01,289250.3
1996-01-01,290923.9
1996-04-01,291933.9
1996-07-01,295311.4
1996-10-01,299309.0
1997-01-01,305004.5
1997-04-01,307689.0
1997-07-01,309854.9
1997-10-01,313513.8
1998-01-01,316365.0
1998-04-01,319304.0
1998-07-01,321564.6
1998-10-01,324659.0
1999-01-01,326569.6
1999-04-01,327139.4
1999-07-01,332754.9
1999-10-01,337668.8
2000-01-01,340388.0
2000-04-01,342450.6
2000-07-01,343455.4
2000-10-01,344266.6
2001-01-01,348277.2
2001-04-01,350966.9
2001-07-01,353674.8
2001-10-01,355061.7
2002-01-01,356452.2
2002-04-01,358198.7
2002-07-01,360580.0
2002-10-01,363426.9
2003-01-01,366132.2
2003-04-01,369474.1
2003-07-01,373682.7
2003-10-01,377159.2
2004-01-01,378483.7
2004-04-01,379876.7
2004-07-01,380558.5
2004-10-01,381513.8
2005-01-01,384555.2
2005-04-01,389073.9
2005-07-01,393177.4
2005-10-01,398565.4
2006-01-01,400418.8
2006-04-01,401500.9
2006-07-01,401873.5
2006-10-01,403746.8
2007-01-01,407553.3
2007-04-01,409851.3
2007-07-01,412986.5
2007-10-01,415095.1
2008-01-01,417322.8
2008-04-01,414987.5
2008-07-01,408503.4
2008-10-01,400086.1
2009-01-01,393329.4
2009-04-01,392582.5
2009-07-01,393068.0
2009-10-01,394414.1
2010-01-01,396944.0
2010-04-01,401031.9
2010-07-01,403957.8
2010-10-01,404093.3
2011-01-01,405552.3
2011-04-01,405899.7
2011-07-01,407265.0
2011-10-01,407798.2
2012-01-01,410623.4
2012-04-01,410019.8
2012-07-01,415017.9
2012-10-01,414119.0
2013-01-01,416310.1
2013-04-01,419657.3
2013-07-01,423580.2
2013-10-01,426299.4
2014-01-01,429573.5
2014-04-01,432370.0
2014-07-01,434809.6
2014-10-01,437355.1
2015-01-01,439721.7
2015-04-01,443005.4
2015-07-01,444720.6
2015-10-01,447638.7
2016-01-01,448529.7
2016-04-01,450560.2
2016-07-01,451936.8
2016-10-01,454633.4
2017-01-01,456888.8
2017-04-01,458227.1
2017-07-01,460167.3
2017-10-01,461800.9
2018-01-01,462119.7
2018-04-01,463887.9
2018-07-01,466654.8
2018-10-01,467433.0
2019-01-01,470015.0
2019-04-01,470665.5
2019-07-01,473006.0
2019-10-01,473087.6
2020-01-01,458804.7
2020-04-01,372766.5
2020-07-01,432422.1
